NAME,HER_IDX,PSZ2_IDX,RA,DEC,z,M500/1e14,SNR,Tier,nH_LAB,RPS,t_RPS,REV,NVSS Separation,NVSS flux_20cm,VLASS Separation,VLASS flux
PSZ2 G049.22+30.87,1,199,17:20:10,+26:37:31,0.1644,5.9,11.75,1,3.37e+20,0,0,-,0.0,0.0,0.0,0.0
PSZ2 G226.18+76.79,2,1020,11:55:18,+23:24:18,0.1427,5.97,14.56,1,1.83e+20,0,0,-,0.0,0.0,0.0,0.0
PSZ2 G053.53+59.52,3,213,15:10:13,+33:30:37,0.113,5.21,15.9,1,1.55e+20,0,0,-,0.0,0.0,0.0,0.0
PSZ2 G056.77+36.32,4,229,17:02:43,+34:03:36,0.0953,4.34,12.74,1,1.88e+20,0,0,-,0.0,0.0,0.0,0.0
PSZ2 G042.81+56.61,5,156,15:22:29,+27:42:22,0.0723,4.22,12.5,1,3.04e+20,0,0,-,0.0,0.0,0.0,0.0
PSZ2 G033.81+77.18,6,119,13:48:53,+26:35:30,0.0622,4.46,19.27,1,1.19e+20,0,0,-,8.45071380310378,924.5,7.897309913103731,386.55660557315
PSZ2 G041.45+29.10,7,150,17:17:45,+19:40:38,0.178,5.41,9.39,1,4.67e+20,0,0,-,0.0,0.0,0.0,0.0
PSZ2 G238.69+63.26,8,1076,11:12:54,+13:26:05,0.169,4.17,7.31,1,1.57e+20,0,0,-,0.0,0.0,0.0,0.0
PSZ2 G080.41-33.24,9,341,22:26:06,+17:21:45,0.1072,3.77,8.68,1,5.14e+20,0,0,-,0.0,0.0,0.0,0.0
PSZ2 G048.10+57.16,10,190,15:21:14,+30:38:32,0.0777,3.54,9.93,1,1.69e+20,0,0,-,0.0,0.0,0.0,0.0
PSZ2 G287.46+81.12,11,1346,12:41:18,+18:34:28,0.073,2.56,7.43,1,1.48e+20,0,0,-,0.0,0.0,0.0,0.0
